LOC,Cyclomatic_Complexity,Maintainability_Index,PEP8_Violations,Security_Issues,Defect_Prone
29,0.0,0.0,11,0,1
829,4.307692307692308,40.0776862369414,318,0,0
204,0.0,0.0,1,0,1
1611,0.0,0.0,1,0,1
592,1.0704225352112675,45.19241447736105,39,0,1
406,0.0,0.0,1,0,1
285,1.8461538461538465,46.01412254139439,27,0,1
258,0.0,0.0,1,0,1
233,0.0,0.0,1,0,1
321,2.310344827586207,56.964778847212415,33,0,0
141,1.7333333333333334,68.8167478355638,17,0,0
36,0.0,0.0,5,0,1
85,0.0,0.0,1,0,1
19,1.25,100.0,1,0,0
91,0.0,0.0,1,0,1
434,0.0,0.0,1,0,1
1829,1.1946902654867255,6.873579835448781,69,3,0
1,0.0,0.0,0,0,1
256,0.0,0.0,59,0,1
95,0.0,0.0,1,0,1
194,3.875,69.6695930436342,10,0,0
24,3.0,98.19398090535668,1,0,0
10,0.0,0.0,0,0,0
274,5.454545454545454,55.35429794910779,7,2,0
438,3.619047619047619,48.7869464697217,6,0,0
4,0.0,0.0,0,0,0
674,1.0,63.84033061351901,1,2,0
257,2.6,53.92172235681835,2,0,0
630,0.0,0.0,0,0,0
21,0.0,0.0,0,1,1
0,0.0,0.0,0,0,1
29,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,1,1
0,0.0,0.0,0,0,1
43,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
33,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
26,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
29,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
35,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
34,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
65,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
41,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
31,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
41,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
37,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
44,0.0,0.0,1,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
26,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
26,0.0,0.0,1,0,0
0,0.0,0.0,0,0,1
26,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
27,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,1,1
0,0.0,0.0,0,0,1
36,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
27,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,1
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
44,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
49,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
43,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
48,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
54,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
45,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
46,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
40,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
43,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
38,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
41,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
92,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
41,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
39,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
34,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
35,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
44,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
44,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
44,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
35,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
33,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
32,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
14,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
35,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
30,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
21,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
42,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
42,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
39,2.5,99.31245979744232,1,0,0
30,4.0,93.88777391847736,1,0,0
9,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
95,8.0,76.75153380695619,0,0,0
27,1.5,100.0,0,0,0
1378,4.206349206349207,0.0,70,0,0
111,1.6666666666666667,75.16144546165737,1,0,0
25,1.0,100.0,0,0,1
716,2.819672131147541,19.830000792549438,32,0,0
31,2.0,92.08657862666348,0,0,0
565,3.019607843137255,20.554056647468546,14,6,0
199,3.727272727272727,49.16908251591034,5,0,0
2558,3.769230769230769,0.0,93,4,0
622,3.15625,39.08946849408812,19,0,0
257,1.25,64.64698105778359,8,0,1
622,4.96875,28.178756382359964,9,0,0
622,2.3692307692307693,29.89704174835341,7,0,0
52,1.0,100.0,0,0,0
75,1.0,100.0,5,0,0
21,1.0,100.0,0,0,1
19,1.0,100.0,0,0,1
0,0.0,0.0,0,0,1
547,4.857142857142857,34.20337050066967,21,9,0
150,7.0,52.63371642781143,5,0,0
70,4.0,48.74199161881601,0,0,0
45,1.3333333333333333,85.29214814406161,2,0,0
67,3.0,77.50628661945592,0,0,0
0,0.0,0.0,0,0,1
123,2.7142857142857144,73.89000045707762,1,0,0
19,3.0,100.0,1,0,0
619,8.333333333333334,26.820588967986925,11,0,0
0,0.0,0.0,0,0,1
7,1.0,100.0,0,0,0
33,6.5,89.33515851343655,0,0,0
50,0.0,0.0,0,0,0
268,3.0,54.32240821114713,4,4,0
523,7.083333333333333,31.40381404698384,15,0,0
0,0.0,0.0,0,0,1
251,3.363636363636364,52.78199134293882,7,0,0
36,2.5,100.0,2,0,0
342,2.4651162790697674,42.83662482668228,14,0,0
164,1.4545454545454546,68.23822664252775,2,0,0
262,9.0,48.6821187212704,9,0,0
67,1.3076923076923077,84.80348774247443,0,0,0
135,1.5,71.92049257951564,1,0,0
596,2.549019607843137,36.60137946300724,21,3,0
699,2.0163934426229506,35.84040947247546,9,9,0
291,3.421052631578948,56.35662652062336,8,0,0
136,2.4,68.18220779305922,3,0,0
634,1.8472222222222223,36.86782235763689,13,0,0
280,2.333333333333333,56.51186700531903,7,0,0
5,0.0,0.0,0,0,0
132,2.25,70.6979683299865,1,0,0
36,0.0,0.0,2,0,0
25,1.0,100.0,1,0,0
371,2.142857142857143,43.63403817409095,11,2,0
412,4.2,45.71171718852745,15,0,0
43,3.5,89.52418439889678,0,0,0
0,0.0,0.0,0,0,1
254,3.8181818181818175,59.261795675330085,2,0,0
82,4.5,54.75299034729281,2,0,0
317,8.2,36.1379207534598,17,1,0
0,0.0,0.0,0,0,1
204,1.0,100.0,9,0,0
15,1.0,100.0,0,0,1
17,1.0,100.0,0,0,1
27,1.0,100.0,2,0,1
17,1.0,100.0,0,0,1
13,1.0,100.0,0,0,1
26,1.0,100.0,2,0,1
26,1.0,100.0,2,0,1
17,1.0,100.0,0,0,1
15,1.0,100.0,1,0,1
76,3.333333333333333,75.3964211872997,6,0,0
17,1.0,100.0,0,0,1
0,0.0,0.0,0,0,1
25,5.0,65.60498034639333,2,0,0
0,0.0,0.0,0,0,1
143,5.571428571428571,57.79794292536405,7,0,1
22,1.5,100.0,1,0,0
46,6.0,57.08202981943734,0,0,0
820,2.210526315789474,33.911084681511134,30,0,0
133,2.5,61.74685356794976,3,0,1
188,2.111111111111111,68.69092837515143,0,0,0
36,4.0,65.86161694766764,1,0,0
88,19.0,70.61363071793025,2,0,0
0,0.0,0.0,0,0,1
135,4.714285714285714,61.94880883440941,4,0,0
113,6.0,56.0419656150006,10,0,0
0,0.0,0.0,0,0,1
45,1.0,100.0,1,0,1
42,2.0,100.0,0,0,0
0,0.0,0.0,0,0,1
22,1.0,100.0,0,0,0
8,1.0,100.0,0,0,0
74,3.6,50.9187931137056,3,0,0
20,5.5,91.0389848958784,1,0,0
49,2.333333333333333,68.28047435239655,1,0,0
14,2.5,75.67471120151156,1,0,0
6,0.0,0.0,1,0,0
70,4.5,79.82553401187087,0,4,0
0,0.0,0.0,0,0,1
68,1.0,100.0,8,0,1
0,0.0,0.0,0,0,1
101,4.75,73.22980975429192,1,0,0
0,0.0,0.0,0,0,1
14,1.5,100.0,0,0,0
151,2.263157894736842,65.04223608754477,7,0,0
230,2.375,62.68986683146473,7,0,0
19,0.0,0.0,2,0,0
374,2.4074074074074074,44.452665251354375,9,0,0
41,3.25,84.92496148443092,0,0,0
40,1.0,100.0,0,0,0
22,6.0,59.75099089331454,1,0,0
0,0.0,0.0,0,0,1
21,3.333333333333333,64.13591943189549,0,0,0
29,0.0,0.0,0,0,0
0,0.0,0.0,0,0,1
29,2.25,92.38827953973512,1,0,0
0,0.0,0.0,0,0,1
26,1.5,88.46614044442026,0,0,0
121,1.2307692307692308,70.27181876153699,0,0,0
132,1.4705882352941178,69.55166294028622,0,0,0
216,1.8235294117647056,60.594046733345856,6,0,1
0,0.0,0.0,0,0,1
14,1.0,100.0,1,0,0
22,1.5,100.0,1,0,0
33,2.333333333333333,90.98465388702613,1,0,1
153,2.0,48.349674097820746,1,0,0
112,3.4444444444444446,51.06575626962055,4,0,0
0,0.0,0.0,0,0,1
62,5.0,77.0483896487288,1,0,0
14,1.0,100.0,1,0,0
28,1.5,100.0,0,0,0
48,3.0,84.87990735355837,1,0,1
67,1.3333333333333333,89.60744363167682,1,0,0
254,1.947368421052632,57.42972922956225,7,0,0
151,2.0,48.79455221642405,1,0,0
0,0.0,0.0,0,0,1
63,1.75,79.72555724204491,0,0,0
161,2.0,60.90920499964568,6,0,0
63,0.0,0.0,0,0,0
13,1.0,100.0,0,0,0
73,4.333333333333333,80.94171316457071,2,0,0
73,1.3333333333333333,88.50404766219268,0,0,0
427,2.5625,43.112564424960205,12,1,0
152,2.4,73.86855962114875,0,0,0
125,3.555555555555556,54.80008135253227,7,0,0
0,0.0,0.0,0,0,1
10,2.5,76.42020806643173,0,0,0
79,4.5,71.24445165789653,2,0,0
5,1.0,100.0,0,0,1
26,1.3333333333333333,100.0,2,0,0
83,4.25,72.89096626836694,0,0,0
71,1.3333333333333333,88.0644242777892,0,0,0
233,1.65,59.18615307109212,7,0,0
195,3.3,54.33076143955241,1,0,0
0,0.0,0.0,0,0,1
94,1.6428571428571428,60.306275493694365,7,0,1
436,2.138888888888889,49.96193989743126,6,0,0
629,2.4204545454545454,19.53302303226721,24,0,1
395,1.872340425531915,52.084583517487104,9,0,1
84,5.5,74.73012733577468,0,0,0
30,0.0,0.0,0,0,0
74,2.25,68.49430316047392,4,0,0
6,0.0,0.0,1,0,0
144,3.1666666666666665,62.11734528203025,2,0,0
116,3.5,63.18043558447215,2,0,0
13,0.0,0.0,0,0,0
6,1.0,100.0,0,0,1
128,2.7142857142857144,73.03560281262033,4,0,0
101,2.333333333333333,78.45011992352993,1,0,0
205,3.2,57.70003753038508,7,0,0
61,2.0,88.96394359849602,0,0,0
120,1.4,71.37199055300542,3,0,0
253,1.6176470588235294,64.70641142973263,3,0,0
877,1.7075471698113207,26.878051173453144,10,0,0
146,3.0,58.044065184107104,2,0,0
234,2.227272727272727,61.31513463051336,7,0,0
144,1.5,66.16668636825484,2,0,0
368,1.775,51.97557317976505,3,0,0
59,0.0,0.0,2,0,0
110,0.0,0.0,7,0,0
142,1.8333333333333333,74.29173347741984,3,0,0
178,1.9166666666666667,72.22895257926483,2,0,0
175,1.0,64.46440349613889,8,0,0
169,0.0,0.0,8,0,0
107,1.0,86.37833679994849,3,0,0
0,0.0,0.0,0,0,1
273,2.272727272727273,57.67105609899309,2,0,0
77,7.0,80.51823722982186,0,0,0
105,0.0,0.0,0,0,0
543,2.606060606060606,43.29098583957988,12,0,0
0,0.0,0.0,0,0,1
6,1.0,100.0,0,0,1
126,1.6153846153846154,75.27531224028942,1,0,0
211,1.542857142857143,47.935703387498144,5,0,0
4,1.0,100.0,0,0,1
33,4.0,91.53948632767008,0,0,0
799,1.8404255319148937,31.6906267284076,11,0,0
28,1.5,100.0,0,0,0
175,2.3846153846153846,66.18781197701557,2,0,0
193,2.8125,57.0801610845617,2,0,0
314,2.3,46.17281268862537,7,0,0
163,2.2,55.52597794344872,4,0,0
189,2.375,62.01963097732249,1,0,0
51,1.181818181818182,89.9581385680147,0,0,0
