project,file,LOC,Cyclomatic_Complexity,Maintainability_Index,Pylint_Score,PEP8_Violations,Security_Issues
BeautifulSoup4,python_projects\BeautifulSoup4\setup.py,29,0.0,0.0,0.0,11,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\dammit.py,829,4.3076923076923075,40.077686236941396,7.39,318,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\diagnose.py,204,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\element.py,1611,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\testing.py,592,1.0704225352112675,45.19241447736105,0.0,39,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\__init__.py,406,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\builder\_html5lib.py,285,1.8461538461538463,46.014122541394386,3.16,27,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\builder\_htmlparser.py,258,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\builder\_lxml.py,233,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\builder\__init__.py,321,2.310344827586207,56.964778847212415,6.34,33,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_builder_registry.py,141,1.7333333333333334,68.8167478355638,6.92,17,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_docs.py,36,0.0,0.0,0.0,5,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_html5lib.py,85,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_htmlparser.py,19,1.25,100.0,8.89,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_lxml.py,91,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_soup.py,434,0.0,0.0,0.0,1,0
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\test_tree.py,1829,1.1946902654867257,6.873579835448781,7.13,69,3
BeautifulSoup4,python_projects\BeautifulSoup4\bs4\tests\__init__.py,1,0.0,0.0,0.0,0,0
BeautifulSoup4,python_projects\BeautifulSoup4\doc\source\conf.py,256,0.0,0.0,0.0,59,0
BeautifulSoup4,python_projects\BeautifulSoup4\scripts\demonstrate_parser_differences.py,95,0.0,0.0,0.0,1,0
django,python_projects\django\django\shortcuts.py,194,3.875,69.6695930436342,8.0,10,0
django,python_projects\django\django\__init__.py,24,3.0,98.19398090535667,5.83,1,0
django,python_projects\django\django\__main__.py,10,0.0,0.0,10.0,0,0
django,python_projects\django\django\apps\config.py,274,5.454545454545454,55.35429794910779,7.37,7,2
django,python_projects\django\django\apps\registry.py,438,3.619047619047619,48.7869464697217,8.46,6,0
django,python_projects\django\django\apps\__init__.py,4,0.0,0.0,6.67,0,0
django,python_projects\django\django\conf\global_settings.py,674,1.0,63.84033061351901,9.93,1,2
django,python_projects\django\django\conf\__init__.py,257,2.6,53.92172235681835,7.13,2,0
django,python_projects\django\django\conf\locale\__init__.py,630,0.0,0.0,10.0,0,0
django,python_projects\django\django\conf\locale\ar\formats.py,21,0.0,0.0,1.43,0,1
django,python_projects\django\django\conf\locale\ar\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ar_DZ\formats.py,29,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\ar_DZ\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\az\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\az\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\bg\formats.py,21,0.0,0.0,8.33,0,0
django,python_projects\django\django\conf\locale\bg\__init__.py,0,0.0,0.0,0.0,0,0
